date,site,NH4ammonium_mgNL
2/1/2018,Desoto,0.068
2/1/2018,Eudora,0.192
2/1/2018,Steve,0.082
2/1/2018,Eric,0.08
2/1/2018,WWTP,0.23
2/1/2018,Bowersock,0.084
2/15/2018,Desoto,0.099
2/15/2018,Eudora,0.122
2/15/2018,Steve,0.093
2/15/2018,Eric,0.071
2/15/2018,WWTP,0.108
2/15/2018,Bowersock,0.082
3/1/2018,Desoto,0.203
3/1/2018,Eudora,0.031
3/1/2018,Steve,0.027
3/1/2018,Eric,0.026
3/1/2018,WWTP,0.023
3/1/2018,Bowersock,0.048
3/15/2018,Bowersock,0.006
3/15/2018,WWTP,0.042
3/15/2018,Eric,0.024
3/15/2018,Steve,0.057
3/15/2018,Desoto,0.027
3/15/2018,Eudora,0.022
3/27/2018,Bowersock,0.023
3/27/2018,WWTP,0.105
3/27/2018,Eric,0.052
3/27/2018,Steve,0.061
3/27/2018,Eudora,0.074
3/27/2018,Desoto,0.067
4/17/2018,Desoto,0.038
4/17/2018,Steve,0.027
4/17/2018,Eric,0.035
4/17/2018,WWTP,0.035
4/17/2018,Bowersock,0.036
